transaction_id,customer_id,transaction_date,transaction_type,amount,adjustment_code,network_node,country,destination_account
TXN00000107,CLI000491,2023-10-09,ESTORNO,-475.93,02,MG-CORE-01,BR,BR-9008612465
TXN00000108,CLI000233,2023-06-09,AJUSTE,1936.92,10,SP-CORE-01,BR,BR-4875962612
TXN00000109,CLI001043,2023-03-02,PAGAMENTO,2274.03,01,MG-CORE-01,BR,BR-6002078344
TXN00000110,CLI000786,2023-08-01,ESTORNO,2924.84,10,SP-CORE-02,BR,BR-6971815972
TXN00000111,CLI000850,2023-11-03,AJUSTE,1788.68,01,SP-CORE-01,BR,BR-8667072205
TXN00000112,CLI001188,2023-09-17,ESTORNO,949.76,00,RJ-CORE-01,BR,BR-6520103410
TXN00000113,CLI001131,2023-03-18,PAGAMENTO,1573.98,10,RJ-CORE-01,BR,BR-3090237817
TXN00000114,CLI000785,2023-08-22,PAGAMENTO,3266.33,01,SP-CORE-02,BR,BR-6110572428
TXN00000115,CLI000312,2023-07-30,AJUSTE,171.89,10,MG-CORE-01,BR,BR-9841118422
TXN00000116,CLI000205,2023-01-19,PAGAMENTO,459.34,02,SP-CORE-01,BR,BR-9851745355
TXN00000117,CLI000962,2023-01-08,PAGAMENTO,2534.1,10,SP-CORE-02,BR,BR-2346922426
TXN00000118,CLI001093,2023-06-23,ESTORNO,2188.94,10,SP-CORE-01,BR,BR-9805294274
TXN00000119,CLI000141,2023-06-12,PAGAMENTO,2201.26,10,BA-CORE-01,BR,BR-3281169403
TXN00000120,CLI000889,2023-11-20,AJUSTE,2401.71,02,SP-CORE-02,BR,BR-3181106786
TXN00000121,CLI000614,2023-11-21,FATURA,2469.54,00,MG-CORE-01,BR,BR-4656488400
TXN00000122,CLI000768,2023-01-24,FATURA,1148.82,00,RJ-CORE-01,BR,BR-9884231465
TXN00000123,CLI000349,2023-03-16,PAGAMENTO,869.81,10,BA-CORE-01,BR,BR-9881824272
TXN00000124,CLI001020,2023-02-10,AJUSTE,2141.03,10,BA-CORE-01,BR,BR-4701485292
TXN00000125,CLI000020,2023-04-29,AJUSTE,1624.8,02,MG-CORE-01,BR,BR-2734202799
TXN00000126,CLI000708,2023-05-28,PAGAMENTO,2378.09,01,SP-CORE-01,BR,BR-3446737272
TXN00000127,CLI000788,2023-11-24,ESTORNO,-3367.86,02,MG-CORE-01,BR,BR-9760623742
TXN00000128,CLI000605,2023-02-24,PAGAMENTO,845.48,02,BA-CORE-01,BR,BR-5647083348
TXN00000129,CLI001018,2023-12-04,FATURA,1397.4,00,BA-CORE-01,BR,BR-2119980130
TXN00000130,CLI000281,2023-04-28,ESTORNO,2132.59,02,SP-CORE-02,BR,BR-2349409434
TXN00000131,CLI001187,2023-11-18,FATURA,2269.27,02,MG-CORE-01,BR,BR-6435772945
TXN00000132,CLI000271,2023-03-09,ESTORNO,-333.66,02,RJ-CORE-01,BR,BR-8067372072
TXN00000133,CLI000987,2023-09-29,ESTORNO,1766.25,02,SP-CORE-02,BR,BR-7258731893
TXN00000134,CLI000463,2023-06-23,ESTORNO,2818.73,10,SP-CORE-01,BR,BR-5018948187
TXN00000135,CLI001099,2023-10-13,PAGAMENTO,1292.9,10,SP-CORE-01,BR,BR-5334976883
TXN00000136,CLI000761,2023-08-21,FATURA,1302.68,02,BA-CORE-01,BR,BR-1429416213
TXN00000137,CLI000672,2023-12-12,FATURA,833.7,00,BA-CORE-01,BR,BR-3309122187
TXN00000138,CLI000239,2023-11-28,AJUSTE,240.0,10,RJ-CORE-01,BR,BR-7467725516
TXN00000139,CLI000200,2023-01-24,AJUSTE,3312.99,02,MG-CORE-01,BR,BR-6344160868
TXN00000140,CLI000859,2023-10-03,AJUSTE,492.11,10,RJ-CORE-01,BR,BR-2224011538
TXN00000141,CLI000573,2023-08-01,AJUSTE,2299.13,10,BA-CORE-01,BR,BR-3271782991
TXN00000142,CLI000743,2023-12-20,FATURA,1309.44,10,MG-CORE-01,BR,BR-7676965974
TXN00000143,CLI000566,2023-12-18,FATURA,1298.33,02,SP-CORE-01,BR,BR-4771526597
TXN00000144,CLI000044,2023-03-04,AJUSTE,3322.56,10,SP-CORE-01,BR,BR-2135872495
TXN00000145,CLI000141,2023-06-20,FATURA,867.62,01,BA-CORE-01,BR,BR-4821286999
TXN00000146,CLI000006,2023-10-28,AJUSTE,771.51,01,RJ-CORE-01,BR,BR-5962610986
TXN00000147,CLI000053,2023-03-16,ESTORNO,3456.6,02,SP-CORE-02,BR,BR-2472659626
TXN00000148,CLI000033,2023-01-08,AJUSTE,1266.68,01,BA-CORE-01,BR,BR-8958199946
TXN00000149,CLI000131,2023-05-16,AJUSTE,202.35,10,BA-CORE-01,BR,BR-7465682673
TXN00000150,CLI000454,2023-08-18,PAGAMENTO,2727.5,00,MG-CORE-01,BR,BR-1218179599
TXN00000151,CLI000981,2023-12-04,FATURA,1834.65,10,SP-CORE-01,BR,BR-8019198243
TXN00000152,CLI000166,2023-08-07,PAGAMENTO,2407.62,10,MG-CORE-01,BR,BR-8856990236
TXN00000153,CLI001124,2023-11-08,ESTORNO,536.2,01,RJ-CORE-01,BR,BR-1189351213
TXN00000154,CLI000204,2023-07-15,ESTORNO,3481.3,02,MG-CORE-01,BR,BR-9503167458
TXN00000155,CLI000468,2023-12-02,FATURA,2285.19,01,MG-CORE-01,BR,BR-8325785916
TXN00000156,CLI000641,2023-06-23,PAGAMENTO,2899.42,10,MG-CORE-01,BR,BR-3409076656
TXN00000157,CLI000138,2023-06-10,PAGAMENTO,2334.58,02,SP-CORE-02,BR,BR-1480494664
TXN00000158,CLI001140,2023-02-13,FATURA,344.44,00,RJ-CORE-01,BR,BR-3373077218
TXN00000159,CLI000725,2023-10-28,FATURA,3349.05,02,SP-CORE-01,BR,BR-2845919895
TXN00000160,CLI001184,2023-01-27,PAGAMENTO,3390.03,02,RJ-CORE-01,BR,BR-5474620894
TXN00000161,CLI001140,2023-03-21,AJUSTE,2305.44,01,SP-CORE-01,BR,BR-2536778950
TXN00000162,CLI001141,2023-02-28,ESTORNO,2673.87,01,MG-CORE-01,BR,BR-3929454134
TXN00000163,CLI000560,2023-11-08,FATURA,3253.21,02,SP-CORE-01,BR,BR-3864457210
TXN00000164,CLI000143,2023-06-23,ESTORNO,1241.56,01,SP-CORE-02,BR,BR-9051829827
TXN00000165,CLI000771,2023-11-21,AJUSTE,3401.9,00,BA-CORE-01,BR,BR-4218981849
TXN00000166,CLI001163,2023-08-21,PAGAMENTO,1206.32,02,RJ-CORE-01,BR,BR-2770791023
TXN00000167,CLI000908,2023-01-27,FATURA,561.42,00,SP-CORE-01,BR,BR-9265609985
TXN00000168,CLI001050,2023-09-06,PAGAMENTO,2132.62,10,RJ-CORE-01,BR,BR-6360837474
TXN00000169,CLI001080,2023-06-26,FATURA,1516.1,02,BA-CORE-01,BR,BR-4011966884
TXN00000170,CLI000433,2023-01-24,ESTORNO,-787.4,00,SP-CORE-01,BR,BR-3021598245
TXN00000171,CLI000882,2023-05-11,AJUSTE,1027.28,00,SP-CORE-01,BR,BR-9239688178
TXN00000172,CLI000726,2023-03-08,AJUSTE,1343.12,01,BA-CORE-01,BR,BR-6796738787
TXN00000173,CLI000942,2023-07-23,FATURA,3018.94,00,MG-CORE-01,BR,BR-4742303947
TXN00000174,CLI000236,2023-06-10,FATURA,2023.64,10,MG-CORE-01,BR,BR-1957449367
TXN00000175,CLI000742,2023-01-11,PAGAMENTO,3382.37,01,BA-CORE-01,BR,BR-3834820954
TXN00000176,CLI000821,2023-08-12,FATURA,2958.81,01,MG-CORE-01,BR,BR-7006365648
TXN00000177,CLI000345,2023-07-22,FATURA,3049.42,02,SP-CORE-02,BR,BR-8616379926
TXN00000178,CLI000303,2023-09-19,FATURA,2223.62,01,RJ-CORE-01,BR,BR-7482848011
TXN00000179,CLI000314,2023-02-22,AJUSTE,529.63,01,SP-CORE-02,BR,BR-1118543408
TXN00000180,CLI001187,2023-04-01,FATURA,3330.5,10,MG-CORE-01,BR,BR-2121910732
TXN00000181,CLI000901,2023-12-15,PAGAMENTO,3236.06,02,RJ-CORE-01,BR,BR-9519284858
TXN00000182,CLI000116,2023-08-29,FATURA,1558.88,02,RJ-CORE-01,BR,BR-1164313410
TXN00000183,CLI000588,2023-09-17,ESTORNO,-278.18,10,MG-CORE-01,BR,BR-7857221324
TXN00000184,CLI001039,2023-11-27,FATURA,3027.59,00,BA-CORE-01,BR,BR-8672650595
TXN00000185,CLI000386,2023-08-25,PAGAMENTO,2039.55,00,MG-CORE-01,BR,BR-5791662169
TXN00000186,CLI000704,2023-11-06,ESTORNO,-1675.19,01,SP-CORE-01,BR,BR-6111349421
TXN00000187,CLI000900,2023-09-16,FATURA,2268.52,00,SP-CORE-02,BR,BR-9780573290
TXN00000188,CLI000693,2023-07-06,AJUSTE,1317.52,02,MG-CORE-01,BR,BR-2872852789
TXN00000189,CLI001143,2023-11-20,FATURA,2272.62,00,RJ-CORE-01,BR,BR-6141226746
TXN00000190,CLI001194,2023-05-26,PAGAMENTO,896.95,01,RJ-CORE-01,BR,BR-2852408227
TXN00000191,CLI000174,2023-06-29,AJUSTE,1099.61,10,SP-CORE-02,BR,BR-9249648005
TXN00000192,CLI000868,2023-10-14,ESTORNO,-1330.84,02,SP-CORE-02,BR,BR-7971399399
TXN00000193,CLI000996,2023-01-10,ESTORNO,1281.84,01,SP-CORE-02,BR,BR-9160639027
TXN00000194,CLI000208,2023-04-26,AJUSTE,3499.92,01,SP-CORE-01,BR,BR-7473041886
TXN00000195,CLI000316,2023-12-05,FATURA,1191.94,01,BA-CORE-01,BR,BR-8159250505
TXN00000196,CLI000842,2023-04-03,AJUSTE,2913.08,01,MG-CORE-01,BR,BR-6695912196
TXN00000197,CLI000920,2023-12-13,ESTORNO,2524.16,10,BA-CORE-01,BR,BR-8289454630
TXN00000198,CLI001169,2023-10-01,AJUSTE,852.31,10,SP-CORE-02,BR,BR-3381183483
TXN00000199,CLI000858,2023-08-25,PAGAMENTO,2697.65,10,BA-CORE-01,BR,BR-6118914230
TXN00000200,CLI000985,2023-04-13,AJUSTE,2808.38,01,RJ-CORE-01,BR,BR-7739255769
TXN00000201,CLI000559,2023-10-11,ESTORNO,3271.34,00,RJ-CORE-01,BR,BR-4580822352
TXN00000202,CLI000924,2023-09-20,PAGAMENTO,532.77,10,SP-CORE-01,BR,BR-6600100279
TXN00000203,CLI000168,2023-01-14,ESTORNO,-1463.84,10,BA-CORE-01,BR,BR-6197695041
TXN00000204,CLI000588,2023-04-25,ESTORNO,-118.09,00,RJ-CORE-01,BR,BR-6679017210
TXN00000205,CLI000163,2023-12-23,PAGAMENTO,387510.88,4F,SANTOS-PORT-07,LU,OFFSHORE-379176OO
TXN00000206,CLI001081,2023-05-12,FATURA,770.48,01,BA-CORE-01,BR,BR-3472487690
TXN00000207,CLI000098,2023-02-26,PAGAMENTO,2721.08,01,RJ-CORE-01,BR,BR-6944142262
TXN00000208,CLI001024,2023-08-03,AJUSTE,2243.55,10,SP-CORE-01,BR,BR-2716495971
TXN00000209,CLI000880,2023-11-20,FATURA,1813.51,01,SP-CORE-02,BR,BR-3953315788
TXN00000210,CLI001073,2023-11-11,FATURA,1247.8,10,SP-CORE-02,BR,BR-4803044105
TXN00000211,CLI000793,2023-02-04,ESTORNO,-3337.84,00,MG-CORE-01,BR,BR-8638257497
TXN00000212,CLI000213,2023-05-10,ESTORNO,-2620.66,02,SP-CORE-01,BR,BR-1939915527
TXN00000213,CLI000981,2023-03-10,ESTORNO,174.29,02,SP-CORE-02,BR,BR-2995226582
TXN00000214,CLI000413,2023-03-11,AJUSTE,239.59,10,SP-CORE-01,BR,BR-3394039673
TXN00000215,CLI000816,2023-04-13,FATURA,3102.55,02,RJ-CORE-01,BR,BR-5816198518
TXN00000216,CLI000098,2023-05-10,PAGAMENTO,147.44,01,RJ-CORE-01,BR,BR-8995059760
TXN00000217,CLI000792,2023-05-20,ESTORNO,453.17,02,MG-CORE-01,BR,BR-7228002201
TXN00000218,CLI000170,2023-04-06,ESTORNO,263595.19,4F,SANTOS-PORT-07,LU,OFFSHORE-623166YH
TXN00000219,CLI000658,2023-02-10,PAGAMENTO,1518.51,01,BA-CORE-01,BR,BR-7296096954
TXN00000220,CLI000873,2023-02-10,FATURA,1161.16,02,RJ-CORE-01,BR,BR-1267429212
TXN00000221,CLI000891,2023-12-20,AJUSTE,1564.8,10,SP-CORE-01,BR,BR-8872207630
TXN00000222,CLI000328,2023-11-24,ESTORNO,-3430.49,00,SP-CORE-01,BR,BR-7767538527
TXN00000223,CLI000138,2023-03-15,FATURA,2973.37,10,SP-CORE-01,BR,BR-3048612358
TXN00000224,CLI000315,2023-11-27,AJUSTE,1294.82,10,BA-CORE-01,BR,BR-9344011888
TXN00000225,CLI001085,2023-07-09,PAGAMENTO,1314.61,00,BA-CORE-01,BR,BR-8884394611
TXN00000226,CLI000382,2023-07-23,ESTORNO,-1114.06,02,SP-CORE-02,BR,BR-4856070374
TXN00000227,CLI000914,2023-09-23,PAGAMENTO,1366.72,00,RJ-CORE-01,BR,BR-3096929657
TXN00000228,CLI000278,2023-11-10,AJUSTE,1013.81,10,SP-CORE-02,BR,BR-6467215542
TXN00000229,CLI000712,2023-08-20,FATURA,620.84,10,SP-CORE-01,BR,BR-3085816511
TXN00000230,CLI000741,2023-10-09,FATURA,1906.76,02,SP-CORE-02,BR,BR-6965096268
TXN00000231,CLI000054,2023-03-04,AJUSTE,3448.26,01,SP-CORE-02,BR,BR-8722962486
TXN00000232,CLI000177,2023-10-11,ESTORNO,2011.53,10,BA-CORE-01,BR,BR-4110335359
TXN00000233,CLI000839,2023-06-08,FATURA,1405.6,10,BA-CORE-01,BR,BR-8904911624
TXN00000234,CLI001060,2023-03-06,FATURA,3403.88,00,MG-CORE-01,BR,BR-4949401194
TXN00000235,CLI000114,2023-03-07,ESTORNO,3075.3,01,SP-CORE-02,BR,BR-3294043548
TXN00000236,CLI000462,2023-09-23,FATURA,552.49,01,SP-CORE-02,BR,BR-9190197115
TXN00000237,CLI001129,2023-09-23,ESTORNO,3134.34,00,RJ-CORE-01,BR,BR-3847562279
TXN00000238,CLI001190,2023-03-06,ESTORNO,2195.08,00,BA-CORE-01,BR,BR-9950486177
TXN00000239,CLI000059,2023-03-29,AJUSTE,2312.39,02,BA-CORE-01,BR,BR-2840877826
TXN00000240,CLI000854,2023-01-24,FATURA,3320.94,02,SP-CORE-02,BR,BR-9018065507
TXN00000241,CLI000502,2023-09-12,FATURA,3113.71,02,RJ-CORE-01,BR,BR-1780520225
TXN00000242,CLI000852,2023-06-02,PAGAMENTO,1598.33,00,SP-CORE-02,BR,BR-6412330148
TXN00000243,CLI000708,2023-08-26,PAGAMENTO,730.0,01,RJ-CORE-01,BR,BR-2405969000
TXN00000244,CLI000956,2023-03-08,PAGAMENTO,2667.11,00,RJ-CORE-01,BR,BR-7247886041
TXN00000245,CLI000787,2023-05-17,FATURA,-246350.52,9A,SANTOS-PORT-07,KY,OFFSHORE-923271KY
TXN00000246,CLI000641,2023-05-08,PAGAMENTO,3370.15,01,RJ-CORE-01,BR,BR-6231117883
TXN00000247,CLI001019,2023-03-23,AJUSTE,1753.96,10,MG-CORE-01,BR,BR-8299146480
TXN00000248,CLI001195,2023-02-16,FATURA,3309.41,10,SP-CORE-02,BR,BR-8588769565
TXN00000249,CLI000017,2023-01-25,ESTORNO,-195.88,10,BA-CORE-01,BR,BR-4518871744
TXN00000250,CLI000750,2023-08-09,FATURA,486.09,02,RJ-CORE-01,BR,BR-9438411468
TXN00000251,CLI000592,2023-07-25,FATURA,198.03,01,RJ-CORE-01,BR,BR-9410288290
TXN00000252,CLI000244,2023-07-17,FATURA,1774.81,02,BA-CORE-01,BR,BR-4070964768
TXN00000253,CLI000296,2023-02-19,AJUSTE,1390.78,02,BA-CORE-01,BR,BR-9916336966
TXN00000254,CLI000281,2023-11-05,AJUSTE,1791.75,00,SP-CORE-01,BR,BR-3693985578
TXN00000255,CLI000653,2023-08-31,ESTORNO,-1827.28,01,BA-CORE-01,BR,BR-8612747444
TXN00000256,CLI001039,2023-07-21,AJUSTE,3467.34,02,BA-CORE-01,BR,BR-4361393222
TXN00000257,CLI000679,2023-12-29,PAGAMENTO,1978.98,10,SP-CORE-01,BR,BR-2591589823
